维修ID,故障ID,维修项目,更换配件,维修费用(元),维修时间
M686,F686,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-10-10 16:17
M687,F687,更换刹车压力传感器,刹车压力传感器,480,2025-03-30 14:37
M688,F688,更换安全带传感器,主驾驶安全带传感器,320,2025-03-11 10:15
M689,F689,更换机油压力传感器,机油压力传感器,450,2024-06-27 14:45
M690,F690,维修ABS控制模块,ABS控制模块维修包,1200,2025-12-30 11:33
M691,F691,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-10-09 14:00
M692,F692,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-08-31 09:30
M693,F693,更换节气门位置传感器,节气门位置传感器,480,2025-06-10 18:33
M694,F694,更换左前轮速传感器,左前轮速传感器,280,2024-01-17 15:32
M695,F695,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-03-27 14:26
M696,F696,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-03-14 12:24
M697,F697,升级ECM控制模块程序,ECM程序升级包,980,2024-07-11 16:47
M698,F698,更换右后轮速传感器,右后轮速传感器,270,2024-12-27 15:36
M699,F699,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-10-31 18:15
M700,F700,更换进气温度传感器,进气温度传感器,380,2024-03-27 18:26
M701,F701,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-06-15 19:10
M702,F702,更换轮速传感器,右前轮速传感器,260,2025-06-26 10:18
M703,F703,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-10-23 10:53
M704,F704,维修空调压缩机,压缩机电磁阀,580,2025-12-11 09:22
M705,F705,更换催化转化器,原厂催化转化器,2800,2025-08-26 17:34
M706,F706,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-11-29 16:41
M707,F707,更换刹车压力传感器,刹车压力传感器,480,2025-12-10 15:14
M708,F708,更换安全带传感器,主驾驶安全带传感器,320,2025-11-13 10:59
M709,F709,更换机油压力传感器,机油压力传感器,450,2025-06-02 19:25
M710,F710,维修ABS控制模块,ABS控制模块维修包,1200,2025-10-06 15:46
M711,F711,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-12-07 17:09
M712,F712,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-09-25 11:09
M713,F713,更换节气门位置传感器,节气门位置传感器,480,2025-01-16 15:31
M714,F714,更换左前轮速传感器,左前轮速传感器,280,2024-01-11 11:38
M715,F715,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-02-05 13:41
M716,F716,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-08-14 15:32
M717,F717,升级ECM控制模块程序,ECM程序升级包,980,2024-07-17 10:24
M718,F718,更换右后轮速传感器,右后轮速传感器,270,2024-08-14 12:14
M719,F719,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-08-06 17:16
M720,F720,更换进气温度传感器,进气温度传感器,380,2024-09-02 17:03
M721,F721,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-03-15 18:29
M722,F722,更换轮速传感器,右前轮速传感器,260,2025-06-27 15:06
M723,F723,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-10-29 15:23
M724,F724,维修空调压缩机,压缩机电磁阀,580,2024-11-24 15:45
M725,F725,更换催化转化器,原厂催化转化器,2800,2025-09-07 12:17
M726,F726,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-02-27 16:18
M727,F727,更换刹车压力传感器,刹车压力传感器,480,2024-04-11 17:49
M728,F728,更换安全带传感器,主驾驶安全带传感器,320,2024-04-01 10:53
M729,F729,更换机油压力传感器,机油压力传感器,450,2025-09-14 09:18
M730,F730,维修ABS控制模块,ABS控制模块维修包,1200,2025-01-20 11:10
M731,F731,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-04-26 19:46
M732,F732,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-12-19 16:50
M733,F733,更换节气门位置传感器,节气门位置传感器,480,2024-07-15 11:39
M734,F734,更换左前轮速传感器,左前轮速传感器,280,2024-06-11 17:32
M735,F735,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-02-10 15:41
M736,F736,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-02-24 12:22
M737,F737,升级ECM控制模块程序,ECM程序升级包,980,2024-08-22 16:01
M738,F738,更换右后轮速传感器,右后轮速传感器,270,2024-07-03 15:30
M739,F739,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-03-02 16:00
M740,F740,更换进气温度传感器,进气温度传感器,380,2025-09-15 13:42
M741,F741,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-05-16 13:17
M742,F742,更换轮速传感器,右前轮速传感器,260,2024-09-15 18:53
M743,F743,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-11-22 12:44
M744,F744,维修空调压缩机,压缩机电磁阀,580,2025-01-13 17:19
M745,F745,更换催化转化器,原厂催化转化器,2800,2024-12-11 17:28
M746,F746,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-11-11 14:56
M747,F747,更换刹车压力传感器,刹车压力传感器,480,2025-02-11 12:58
M748,F748,更换安全带传感器,主驾驶安全带传感器,320,2025-12-27 18:56
M749,F749,更换机油压力传感器,机油压力传感器,450,2024-10-01 14:31
M750,F750,维修ABS控制模块,ABS控制模块维修包,1200,2025-07-23 10:58
M751,F751,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-03-23 18:31
M752,F752,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-01-26 17:41
M753,F753,更换节气门位置传感器,节气门位置传感器,480,2025-04-13 18:39
M754,F754,更换左前轮速传感器,左前轮速传感器,280,2025-09-05 12:11
M755,F755,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-02-08 10:40
M756,F756,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-12-15 11:19
M757,F757,升级ECM控制模块程序,ECM程序升级包,980,2024-10-25 15:31
M758,F758,更换右后轮速传感器,右后轮速传感器,270,2025-11-05 19:10
M759,F759,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-06-09 15:17
M760,F760,更换进气温度传感器,进气温度传感器,380,2024-09-20 19:59
M761,F761,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-12-04 12:20
M762,F762,更换轮速传感器,右前轮速传感器,260,2024-12-05 16:31
M763,F763,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-02-28 19:40
M764,F764,维修空调压缩机,压缩机电磁阀,580,2025-06-21 09:11
M765,F765,更换催化转化器,原厂催化转化器,2800,2024-01-16 14:43
M766,F766,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-08-13 15:17
M767,F767,更换刹车压力传感器,刹车压力传感器,480,2024-04-09 12:49
M768,F768,更换安全带传感器,主驾驶安全带传感器,320,2024-12-11 15:48
M769,F769,更换机油压力传感器,机油压力传感器,450,2025-03-15 14:27
M770,F770,维修ABS控制模块,ABS控制模块维修包,1200,2025-10-09 15:40
M771,F771,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-10-28 12:47
M772,F772,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-12-03 16:22
M773,F773,更换节气门位置传感器,节气门位置传感器,480,2024-03-29 09:31
M774,F774,更换左前轮速传感器,左前轮速传感器,280,2025-07-22 10:53
M775,F775,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-06-27 14:28
M776,F776,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-12-18 18:14
M777,F777,升级ECM控制模块程序,ECM程序升级包,980,2025-06-26 15:25
M778,F778,更换右后轮速传感器,右后轮速传感器,270,2024-02-27 13:40
M779,F779,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-10-19 12:31
M780,F780,更换进气温度传感器,进气温度传感器,380,2024-06-20 16:52
M781,F781,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-07-14 14:37
M782,F782,更换轮速传感器,右前轮速传感器,260,2025-07-22 18:46
M783,F783,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-01-11 11:59
M784,F784,维修空调压缩机,压缩机电磁阀,580,2024-02-16 19:43
M785,F785,更换催化转化器,原厂催化转化器,2800,2024-11-15 14:13
M786,F786,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-09-05 17:30
M787,F787,更换刹车压力传感器,刹车压力传感器,480,2025-07-29 14:20
M788,F788,更换安全带传感器,主驾驶安全带传感器,320,2025-04-17 15:10
M789,F789,更换机油压力传感器,机油压力传感器,450,2024-09-26 11:44
M790,F790,维修ABS控制模块,ABS控制模块维修包,1200,2024-04-08 10:41
M791,F791,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-02-18 19:44
M792,F792,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-03-19 15:16
M793,F793,更换节气门位置传感器,节气门位置传感器,480,2025-12-19 15:41
M794,F794,更换左前轮速传感器,左前轮速传感器,280,2024-10-22 14:20
M795,F795,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-07-01 15:09
M796,F796,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-12-19 13:45
M797,F797,升级ECM控制模块程序,ECM程序升级包,980,2025-08-26 19:57
M798,F798,更换右后轮速传感器,右后轮速传感器,270,2025-01-06 11:19
M799,F799,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-04-11 17:00
M800,F800,更换进气温度传感器,进气温度传感器,380,2025-05-26 15:09
M801,F801,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-08-05 18:45
M802,F802,更换轮速传感器,右前轮速传感器,260,2024-08-13 10:46
M803,F803,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-05-23 11:38
M804,F804,维修空调压缩机,压缩机电磁阀,580,2024-01-11 16:04
M805,F805,更换催化转化器,原厂催化转化器,2800,2024-05-25 12:29
M806,F806,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-04-05 12:38
M807,F807,更换刹车压力传感器,刹车压力传感器,480,2024-09-20 18:16
M808,F808,更换安全带传感器,主驾驶安全带传感器,320,2024-02-06 17:06
M809,F809,更换机油压力传感器,机油压力传感器,450,2024-06-23 15:58
M810,F810,维修ABS控制模块,ABS控制模块维修包,1200,2024-08-07 11:51
M811,F811,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-02-06 14:44
M812,F812,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-01-12 16:29
M813,F813,更换节气门位置传感器,节气门位置传感器,480,2025-07-13 12:06
M814,F814,更换左前轮速传感器,左前轮速传感器,280,2025-03-05 13:37
M815,F815,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-09-03 12:20
M816,F816,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-03-02 13:58
M817,F817,升级ECM控制模块程序,ECM程序升级包,980,2025-04-07 12:14
M818,F818,更换右后轮速传感器,右后轮速传感器,270,2024-06-14 09:36
M819,F819,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-08-23 09:51
M820,F820,更换进气温度传感器,进气温度传感器,380,2024-03-13 11:14
M821,F821,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-11-26 14:09
M822,F822,更换轮速传感器,右前轮速传感器,260,2025-04-06 17:51
M823,F823,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-01-18 15:49
M824,F824,维修空调压缩机,压缩机电磁阀,580,2025-09-10 13:29
M825,F825,更换催化转化器,原厂催化转化器,2800,2024-09-02 12:44
M826,F826,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-10-28 16:31
M827,F827,更换刹车压力传感器,刹车压力传感器,480,2025-01-10 11:31
M828,F828,更换安全带传感器,主驾驶安全带传感器,320,2024-01-21 17:21
M829,F829,更换机油压力传感器,机油压力传感器,450,2025-11-06 15:36
M830,F830,维修ABS控制模块,ABS控制模块维修包,1200,2024-10-28 13:09
M831,F831,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-03-09 19:37
M832,F832,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-02-05 12:36
M833,F833,更换节气门位置传感器,节气门位置传感器,480,2024-03-20 18:34
M834,F834,更换左前轮速传感器,左前轮速传感器,280,2024-05-08 10:20
M835,F835,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-01-21 11:28
M836,F836,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-03-15 10:35
M837,F837,升级ECM控制模块程序,ECM程序升级包,980,2025-05-28 10:07
M838,F838,更换右后轮速传感器,右后轮速传感器,270,2024-09-23 10:39
M839,F839,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-09-12 11:36
M840,F840,更换进气温度传感器,进气温度传感器,380,2024-04-22 17:53
M841,F841,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-09-28 15:18
M842,F842,更换轮速传感器,右前轮速传感器,260,2025-07-16 17:27
M843,F843,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-03-19 11:54
M844,F844,维修空调压缩机,压缩机电磁阀,580,2024-03-19 14:04
M845,F845,更换催化转化器,原厂催化转化器,2800,2024-08-25 10:59
M846,F846,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-09-29 12:26
M847,F847,更换刹车压力传感器,刹车压力传感器,480,2025-10-05 09:43
M848,F848,更换安全带传感器,主驾驶安全带传感器,320,2025-06-28 13:27
M849,F849,更换机油压力传感器,机油压力传感器,450,2025-03-28 14:20
M850,F850,维修ABS控制模块,ABS控制模块维修包,1200,2024-03-19 14:37
M851,F851,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-11-14 16:41
M852,F852,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-01-11 17:01
M853,F853,更换节气门位置传感器,节气门位置传感器,480,2025-11-11 13:25
M854,F854,更换左前轮速传感器,左前轮速传感器,280,2024-04-14 17:00
M855,F855,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-09-29 16:51
M856,F856,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-09-22 10:01
M857,F857,升级ECM控制模块程序,ECM程序升级包,980,2025-11-26 11:18
M858,F858,更换右后轮速传感器,右后轮速传感器,270,2024-08-25 19:16
M859,F859,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-01-25 15:11
M860,F860,更换进气温度传感器,进气温度传感器,380,2024-05-14 10:14
M861,F861,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-11-01 18:46
M862,F862,更换轮速传感器,右前轮速传感器,260,2024-06-30 18:35
M863,F863,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-07-29 19:46
M864,F864,维修空调压缩机,压缩机电磁阀,580,2024-08-21 14:13
M865,F865,更换催化转化器,原厂催化转化器,2800,2025-05-13 17:50
M866,F866,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-10-30 15:46
M867,F867,更换刹车压力传感器,刹车压力传感器,480,2025-07-01 15:24
M868,F868,更换安全带传感器,主驾驶安全带传感器,320,2024-03-29 18:43
M869,F869,更换机油压力传感器,机油压力传感器,450,2024-03-02 14:29
M870,F870,维修ABS控制模块,ABS控制模块维修包,1200,2025-09-02 18:28
M871,F871,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-07-27 16:57
M872,F872,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-09-17 18:16
M873,F873,更换节气门位置传感器,节气门位置传感器,480,2024-11-26 10:38
M874,F874,更换左前轮速传感器,左前轮速传感器,280,2025-07-30 18:16
M875,F875,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-10-09 17:58
M876,F876,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-12-17 10:10
M877,F877,升级ECM控制模块程序,ECM程序升级包,980,2025-03-11 16:24
M878,F878,更换右后轮速传感器,右后轮速传感器,270,2024-05-25 17:17
M879,F879,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-09-26 19:46
M880,F880,更换进气温度传感器,进气温度传感器,380,2025-02-13 16:54
M881,F881,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-11-30 10:00
M882,F882,更换轮速传感器,右前轮速传感器,260,2025-08-17 13:13
M883,F883,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-07-16 15:07
M884,F884,维修空调压缩机,压缩机电磁阀,580,2025-12-04 16:38
M885,F885,更换催化转化器,原厂催化转化器,2800,2025-01-09 16:58
M886,F886,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-11-19 11:15
M887,F887,更换刹车压力传感器,刹车压力传感器,480,2025-09-19 13:48
M888,F888,更换安全带传感器,主驾驶安全带传感器,320,2024-11-26 12:22
M889,F889,更换机油压力传感器,机油压力传感器,450,2025-12-23 14:48
M890,F890,维修ABS控制模块,ABS控制模块维修包,1200,2025-08-07 16:46
M891,F891,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-05-16 18:39
M892,F892,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-09-11 09:21
M893,F893,更换节气门位置传感器,节气门位置传感器,480,2025-10-24 17:41
M894,F894,更换左前轮速传感器,左前轮速传感器,280,2025-05-31 16:06
M895,F895,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-11-07 13:31
M896,F896,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-07-27 16:42
M897,F897,升级ECM控制模块程序,ECM程序升级包,980,2024-07-24 19:03
M898,F898,更换右后轮速传感器,右后轮速传感器,270,2024-02-26 10:32
M899,F899,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-09-22 15:29
M900,F900,更换进气温度传感器,进气温度传感器,380,2024-06-09 12:55
M901,F901,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-10-20 15:01
M902,F902,更换轮速传感器,右前轮速传感器,260,2025-05-05 18:22
M903,F903,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-05-28 10:43
M904,F904,维修空调压缩机,压缩机电磁阀,580,2024-01-09 15:50
M905,F905,更换催化转化器,原厂催化转化器,2800,2025-05-11 10:45
M906,F906,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-08-16 18:28
M907,F907,更换刹车压力传感器,刹车压力传感器,480,2024-12-21 17:01
M908,F908,更换安全带传感器,主驾驶安全带传感器,320,2025-09-30 15:41
M909,F909,更换机油压力传感器,机油压力传感器,450,2025-10-30 15:21
M910,F910,维修ABS控制模块,ABS控制模块维修包,1200,2024-02-08 17:12
M911,F911,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-11-14 15:39
M912,F912,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-10-10 12:29
M913,F913,更换节气门位置传感器,节气门位置传感器,480,2025-08-27 13:32
M914,F914,更换左前轮速传感器,左前轮速传感器,280,2024-10-21 11:22
M915,F915,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-06-30 17:35
M916,F916,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-05-02 10:25
M917,F917,升级ECM控制模块程序,ECM程序升级包,980,2024-02-13 11:20
M918,F918,更换右后轮速传感器,右后轮速传感器,270,2025-05-14 15:50
M919,F919,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-08-05 12:36
M920,F920,更换进气温度传感器,进气温度传感器,380,2024-02-22 12:00
M921,F921,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-09-26 17:25
M922,F922,更换轮速传感器,右前轮速传感器,260,2025-06-22 11:28
M923,F923,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-08-09 11:58
M924,F924,维修空调压缩机,压缩机电磁阀,580,2024-12-30 13:54
M925,F925,更换催化转化器,原厂催化转化器,2800,2025-01-10 11:21
M926,F926,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-10-04 10:05
M927,F927,更换刹车压力传感器,刹车压力传感器,480,2025-11-13 11:42
M928,F928,更换安全带传感器,主驾驶安全带传感器,320,2024-07-19 12:28
M929,F929,更换机油压力传感器,机油压力传感器,450,2025-05-13 09:07
M930,F930,维修ABS控制模块,ABS控制模块维修包,1200,2025-04-17 12:16
M931,F931,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-10-06 17:03
M932,F932,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-02-10 16:13
M933,F933,更换节气门位置传感器,节气门位置传感器,480,2025-07-09 14:28
M934,F934,更换左前轮速传感器,左前轮速传感器,280,2025-09-27 11:38
M935,F935,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-11-30 13:47
M936,F936,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-07-04 15:27
M937,F937,升级ECM控制模块程序,ECM程序升级包,980,2024-08-10 12:02
M938,F938,更换右后轮速传感器,右后轮速传感器,270,2024-07-16 11:45
M939,F939,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-03-30 12:20
M940,F940,更换进气温度传感器,进气温度传感器,380,2024-02-01 15:18
M941,F941,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-12-05 19:45
M942,F942,更换轮速传感器,右前轮速传感器,260,2025-09-07 15:00
M943,F943,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-09-10 11:42
M944,F944,维修空调压缩机,压缩机电磁阀,580,2024-06-06 12:09
M945,F945,更换催化转化器,原厂催化转化器,2800,2025-02-09 18:32
M946,F946,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-12-10 13:58
M947,F947,更换刹车压力传感器,刹车压力传感器,480,2025-07-09 10:40
M948,F948,更换安全带传感器,主驾驶安全带传感器,320,2024-04-05 14:46
M949,F949,更换机油压力传感器,机油压力传感器,450,2024-01-11 13:12
M950,F950,维修ABS控制模块,ABS控制模块维修包,1200,2024-07-14 13:15
M951,F951,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-11-07 12:40
M952,F952,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-12-22 10:53
M953,F953,更换节气门位置传感器,节气门位置传感器,480,2025-03-14 14:56
M954,F954,更换左前轮速传感器,左前轮速传感器,280,2025-10-10 17:18
M955,F955,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-12-22 10:12
M956,F956,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-01-20 17:36
M957,F957,升级ECM控制模块程序,ECM程序升级包,980,2024-04-24 13:58
M958,F958,更换右后轮速传感器,右后轮速传感器,270,2025-08-25 19:17
M959,F959,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-03-08 13:13
M960,F960,更换进气温度传感器,进气温度传感器,380,2025-11-24 09:56
M961,F961,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-10-22 14:53
M962,F962,更换轮速传感器,右前轮速传感器,260,2024-12-20 14:21
M963,F963,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-11-30 10:07
M964,F964,维修空调压缩机,压缩机电磁阀,580,2024-11-30 14:13
M965,F965,更换催化转化器,原厂催化转化器,2800,2024-01-15 12:37
M966,F966,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-04-29 12:51
M967,F967,更换刹车压力传感器,刹车压力传感器,480,2025-08-04 18:26
M968,F968,更换安全带传感器,主驾驶安全带传感器,320,2024-06-16 12:30
M969,F969,更换机油压力传感器,机油压力传感器,450,2025-04-05 15:15
M970,F970,维修ABS控制模块,ABS控制模块维修包,1200,2024-05-12 12:17
M971,F971,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-01-07 11:39
M972,F972,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-06-14 13:57
M973,F973,更换节气门位置传感器,节气门位置传感器,480,2024-04-14 15:58
M974,F974,更换左前轮速传感器,左前轮速传感器,280,2024-08-02 14:00
M975,F975,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-02-23 16:53
M976,F976,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-02-10 09:46
M977,F977,升级ECM控制模块程序,ECM程序升级包,980,2025-12-27 17:33
M978,F978,更换右后轮速传感器,右后轮速传感器,270,2024-07-08 18:35
M979,F979,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-11-22 12:05
M980,F980,更换进气温度传感器,进气温度传感器,380,2025-11-16 11:04
M981,F981,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-08-09 14:38
M982,F982,更换轮速传感器,右前轮速传感器,260,2025-03-27 18:17
M983,F983,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-12-15 13:20
M984,F984,维修空调压缩机,压缩机电磁阀,580,2024-10-09 11:59
M985,F985,更换催化转化器,原厂催化转化器,2800,2025-12-05 13:21
M986,F986,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-07-10 16:20
M987,F987,更换刹车压力传感器,刹车压力传感器,480,2024-07-25 17:27
M988,F988,更换安全带传感器,主驾驶安全带传感器,320,2024-11-20 15:02
M989,F989,更换机油压力传感器,机油压力传感器,450,2024-08-01 15:39
M990,F990,维修ABS控制模块,ABS控制模块维修包,1200,2025-04-26 16:42
M991,F991,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-07-19 17:11
M992,F992,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-06-15 17:55
M993,F993,更换节气门位置传感器,节气门位置传感器,480,2024-12-03 10:07
M994,F994,更换左前轮速传感器,左前轮速传感器,280,2025-06-03 12:56
M995,F995,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-01-26 10:29
M996,F996,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-09-05 11:19
M997,F997,升级ECM控制模块程序,ECM程序升级包,980,2025-05-14 16:43
M998,F998,更换右后轮速传感器,右后轮速传感器,270,2025-12-21 17:09
M999,F999,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-09-16 14:46
M1000,F1000,更换进气温度传感器,进气温度传感器,380,2025-02-18 11:52
M1001,F1001,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-01-10 10:29
M1002,F1002,更换轮速传感器,右前轮速传感器,260,2024-04-07 13:48
M1003,F1003,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-05-02 14:22
M1004,F1004,维修空调压缩机,压缩机电磁阀,580,2025-01-20 17:50
M1005,F1005,更换催化转化器,原厂催化转化器,2800,2024-02-21 17:06
M1006,F1006,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-06-22 15:02
M1007,F1007,更换刹车压力传感器,刹车压力传感器,480,2025-02-05 14:51
M1008,F1008,更换安全带传感器,主驾驶安全带传感器,320,2025-02-08 12:26
M1009,F1009,更换机油压力传感器,机油压力传感器,450,2024-05-30 12:56
M1010,F1010,维修ABS控制模块,ABS控制模块维修包,1200,2024-05-25 09:42
M1011,F1011,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-06-14 14:46
M1012,F1012,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-10-18 18:17
M1013,F1013,更换节气门位置传感器,节气门位置传感器,480,2025-10-07 18:43
M1014,F1014,更换左前轮速传感器,左前轮速传感器,280,2025-04-08 15:35
M1015,F1015,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-06-22 18:43
M1016,F1016,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-05-03 17:49
M1017,F1017,升级ECM控制模块程序,ECM程序升级包,980,2024-12-04 17:26
M1018,F1018,更换右后轮速传感器,右后轮速传感器,270,2025-12-27 12:50
M1019,F1019,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-07-23 15:48
M1020,F1020,更换进气温度传感器,进气温度传感器,380,2024-11-23 17:56
M1021,F1021,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-06-05 14:49
M1022,F1022,更换轮速传感器,右前轮速传感器,260,2025-08-02 11:47
M1023,F1023,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-05-03 13:14
