保养ID,车型,行驶里程(km),保养项目,保养时间,上次保养里程(km)
S2085,宝马3系,122420,大保养(机油+三滤+刹车油),2025-06-15 16:25,112420
S2086,福特蒙迪欧,74380,刹车油+刹车片更换,2024-03-28 13:34,64380
S2087,吉利星越L,97213,机油+机滤+空调滤芯更换,2025-06-06 09:39,92213
S2088,奥迪A4L,31843,变速箱油+火花塞更换,2024-07-14 08:28,21843
S2089,长城哈弗H6,23444,空气滤芯+燃油滤芯更换,2024-01-20 13:45,18444
S2090,奔驰C级,103382,大保养(机油+三滤+变速箱油),2025-05-13 17:07,93382
S2091,丰田凯美瑞,71558,刹车油+冷却液更换,2025-04-07 17:37,61558
S2092,大众帕萨特,127212,机油+机滤+空气滤芯更换,2025-11-05 08:20,122212
S2093,本田CR-V,77162,变速箱油+刹车油更换,2024-03-04 11:00,67162
S2094,比亚迪宋PLUS,65749,全车检查+空调滤芯更换,2025-03-17 13:06,60749
S2095,宝马5系,124247,大保养(机油+三滤+正时皮带),2025-09-11 10:41,114247
S2096,奥迪Q5L,61930,机油+机滤+火花塞更换,2024-06-09 15:18,56930
S2097,福特锐界,116725,刹车油+刹车片+轮胎更换,2025-06-26 09:31,106725
S2098,吉利博越,115135,机油+机滤+燃油滤芯更换,2025-12-26 10:59,110135
S2099,长城魏派VV7,77762,变速箱油+空调滤芯更换,2024-01-19 08:13,67762
S2100,奔驰E级,31644,大保养(机油+三滤+刹车油),2024-02-18 16:39,21644
S2101,丰田卡罗拉,55210,机油+机滤更换,2024-11-28 14:01,50210
S2102,大众朗逸,118056,空调滤芯+空气滤芯更换,2024-04-09 12:21,108056
S2103,本田思域,34744,变速箱油更换,2024-12-28 11:27,24744
S2104,比亚迪汉,149131,全车检查+轮胎换位,2024-02-11 15:39,139131
S2105,宝马3系,53692,大保养(机油+三滤+刹车油),2025-09-07 14:03,43692
S2106,福特蒙迪欧,96683,刹车油+刹车片更换,2024-04-27 08:00,86683
S2107,吉利星越L,129314,机油+机滤+空调滤芯更换,2025-08-30 09:08,124314
S2108,奥迪A4L,86587,变速箱油+火花塞更换,2024-07-28 15:34,76587
S2109,长城哈弗H6,122584,空气滤芯+燃油滤芯更换,2025-06-11 15:24,117584
S2110,奔驰C级,32179,大保养(机油+三滤+变速箱油),2025-09-04 13:29,22179
S2111,丰田凯美瑞,147811,刹车油+冷却液更换,2024-06-25 16:26,137811
S2112,大众帕萨特,51077,机油+机滤+空气滤芯更换,2025-12-21 15:28,46077
S2113,本田CR-V,146534,变速箱油+刹车油更换,2024-10-04 14:11,136534
S2114,比亚迪宋PLUS,87851,全车检查+空调滤芯更换,2024-07-28 13:40,82851
S2115,宝马5系,72504,大保养(机油+三滤+正时皮带),2025-02-22 08:58,62504
S2116,奥迪Q5L,47162,机油+机滤+火花塞更换,2024-09-24 16:25,42162
S2117,福特锐界,32642,刹车油+刹车片+轮胎更换,2024-03-13 12:36,22642
S2118,吉利博越,69544,机油+机滤+燃油滤芯更换,2024-10-13 13:17,64544
S2119,长城魏派VV7,47213,变速箱油+空调滤芯更换,2025-11-05 17:42,37213
S2120,奔驰E级,40883,大保养(机油+三滤+刹车油),2024-09-22 14:37,30883
S2121,丰田卡罗拉,142319,机油+机滤更换,2025-09-07 13:47,137319
S2122,大众朗逸,69802,空调滤芯+空气滤芯更换,2024-10-31 12:05,59802
S2123,本田思域,91763,变速箱油更换,2025-10-04 12:25,81763
S2124,比亚迪汉,129452,全车检查+轮胎换位,2024-09-12 09:45,119452
S2125,宝马3系,139807,大保养(机油+三滤+刹车油),2024-10-22 11:43,129807
S2126,福特蒙迪欧,139074,刹车油+刹车片更换,2024-09-30 15:00,129074
S2127,吉利星越L,28148,机油+机滤+空调滤芯更换,2024-06-18 13:10,23148
S2128,奥迪A4L,84081,变速箱油+火花塞更换,2024-12-07 09:23,74081
S2129,长城哈弗H6,98857,空气滤芯+燃油滤芯更换,2024-03-20 15:42,93857
S2130,奔驰C级,57385,大保养(机油+三滤+变速箱油),2025-09-28 09:45,47385
S2131,丰田凯美瑞,79744,刹车油+冷却液更换,2025-10-31 16:30,69744
S2132,大众帕萨特,26452,机油+机滤+空气滤芯更换,2024-04-28 13:27,21452
S2133,本田CR-V,145850,变速箱油+刹车油更换,2024-02-03 13:33,135850
S2134,比亚迪宋PLUS,115497,全车检查+空调滤芯更换,2025-10-19 09:15,110497
S2135,宝马5系,49145,大保养(机油+三滤+正时皮带),2025-04-24 15:01,39145
S2136,奥迪Q5L,98465,机油+机滤+火花塞更换,2024-08-04 16:43,93465
S2137,福特锐界,20836,刹车油+刹车片+轮胎更换,2025-02-23 13:52,10836
S2138,吉利博越,137390,机油+机滤+燃油滤芯更换,2024-10-20 08:14,132390
S2139,长城魏派VV7,95650,变速箱油+空调滤芯更换,2025-09-09 17:58,85650
S2140,奔驰E级,88225,大保养(机油+三滤+刹车油),2025-09-02 13:55,78225
S2141,丰田卡罗拉,122676,机油+机滤更换,2024-04-08 13:58,117676
S2142,大众朗逸,117724,空调滤芯+空气滤芯更换,2024-03-09 17:36,107724
S2143,本田思域,34708,变速箱油更换,2024-06-23 13:23,24708
S2144,比亚迪汉,68572,全车检查+轮胎换位,2024-08-02 12:15,58572
S2145,宝马3系,25142,大保养(机油+三滤+刹车油),2024-07-22 17:38,15142
S2146,福特蒙迪欧,121963,刹车油+刹车片更换,2024-03-13 08:15,111963
S2147,吉利星越L,71875,机油+机滤+空调滤芯更换,2025-08-26 13:34,66875
S2148,奥迪A4L,124759,变速箱油+火花塞更换,2025-09-12 16:27,114759
S2149,长城哈弗H6,95460,空气滤芯+燃油滤芯更换,2025-11-11 09:13,90460
S2150,奔驰C级,45230,大保养(机油+三滤+变速箱油),2024-11-11 17:23,35230
S2151,丰田凯美瑞,122327,刹车油+冷却液更换,2025-10-24 16:42,112327
S2152,大众帕萨特,130987,机油+机滤+空气滤芯更换,2025-11-16 16:41,125987
S2153,本田CR-V,93254,变速箱油+刹车油更换,2024-08-30 11:42,83254
S2154,比亚迪宋PLUS,46513,全车检查+空调滤芯更换,2025-11-05 15:46,41513
S2155,宝马5系,96362,大保养(机油+三滤+正时皮带),2024-03-21 16:45,86362
S2156,奥迪Q5L,31033,机油+机滤+火花塞更换,2025-05-21 10:23,26033
S2157,福特锐界,47639,刹车油+刹车片+轮胎更换,2024-05-28 12:09,37639
S2158,吉利博越,86612,机油+机滤+燃油滤芯更换,2024-05-06 17:17,81612
S2159,长城魏派VV7,72205,变速箱油+空调滤芯更换,2025-12-05 15:44,62205
S2160,奔驰E级,42004,大保养(机油+三滤+刹车油),2025-12-01 16:27,32004
S2161,丰田卡罗拉,34690,机油+机滤更换,2024-09-08 08:00,29690
S2162,大众朗逸,70807,空调滤芯+空气滤芯更换,2025-12-27 13:36,60807
S2163,本田思域,123080,变速箱油更换,2025-09-24 11:21,113080
S2164,比亚迪汉,112366,全车检查+轮胎换位,2025-07-11 13:59,102366
S2165,宝马3系,85486,大保养(机油+三滤+刹车油),2025-01-03 11:10,75486
S2166,福特蒙迪欧,141257,刹车油+刹车片更换,2025-06-11 11:15,131257
S2167,吉利星越L,44377,机油+机滤+空调滤芯更换,2024-02-02 14:56,39377
S2168,奥迪A4L,84416,变速箱油+火花塞更换,2024-01-20 17:53,74416
S2169,长城哈弗H6,86756,空气滤芯+燃油滤芯更换,2024-02-18 10:01,81756
S2170,奔驰C级,74141,大保养(机油+三滤+变速箱油),2024-06-24 12:50,64141
S2171,丰田凯美瑞,79030,刹车油+冷却液更换,2024-02-15 16:57,69030
S2172,大众帕萨特,21967,机油+机滤+空气滤芯更换,2025-09-03 16:17,16967
S2173,本田CR-V,20436,变速箱油+刹车油更换,2024-09-07 09:13,10436
S2174,比亚迪宋PLUS,107019,全车检查+空调滤芯更换,2025-07-12 14:18,102019
S2175,宝马5系,130771,大保养(机油+三滤+正时皮带),2025-12-08 13:00,120771
S2176,奥迪Q5L,144391,机油+机滤+火花塞更换,2024-05-14 17:30,139391
S2177,福特锐界,82153,刹车油+刹车片+轮胎更换,2025-06-17 12:42,72153
S2178,吉利博越,51761,机油+机滤+燃油滤芯更换,2024-03-26 10:41,46761
S2179,长城魏派VV7,133387,变速箱油+空调滤芯更换,2024-02-06 11:09,123387
S2180,奔驰E级,88284,大保养(机油+三滤+刹车油),2024-06-24 15:10,78284
S2181,丰田卡罗拉,138412,机油+机滤更换,2024-06-25 11:18,133412
S2182,大众朗逸,39943,空调滤芯+空气滤芯更换,2025-03-14 13:40,29943
S2183,本田思域,48128,变速箱油更换,2024-05-18 08:50,38128
S2184,比亚迪汉,123817,全车检查+轮胎换位,2025-07-20 15:18,113817
S2185,宝马3系,46045,大保养(机油+三滤+刹车油),2025-07-08 10:58,36045
S2186,福特蒙迪欧,97360,刹车油+刹车片更换,2024-10-06 09:43,87360
S2187,吉利星越L,75711,机油+机滤+空调滤芯更换,2024-03-23 16:55,70711
S2188,奥迪A4L,46910,变速箱油+火花塞更换,2024-09-01 08:23,36910
S2189,长城哈弗H6,80719,空气滤芯+燃油滤芯更换,2024-03-09 10:06,75719
S2190,奔驰C级,117053,大保养(机油+三滤+变速箱油),2024-12-15 11:27,107053
S2191,丰田凯美瑞,70793,刹车油+冷却液更换,2024-07-17 14:53,60793
S2192,大众帕萨特,39218,机油+机滤+空气滤芯更换,2025-05-06 08:04,34218
S2193,本田CR-V,67112,变速箱油+刹车油更换,2024-06-26 13:10,57112
S2194,比亚迪宋PLUS,45244,全车检查+空调滤芯更换,2025-09-29 13:08,40244
S2195,宝马5系,52119,大保养(机油+三滤+正时皮带),2024-08-13 16:23,42119
S2196,奥迪Q5L,113745,机油+机滤+火花塞更换,2024-01-16 08:34,108745
S2197,福特锐界,85255,刹车油+刹车片+轮胎更换,2024-06-23 15:53,75255
S2198,吉利博越,59250,机油+机滤+燃油滤芯更换,2025-01-18 10:19,54250
S2199,长城魏派VV7,109581,变速箱油+空调滤芯更换,2025-01-16 09:18,99581
S2200,奔驰E级,37888,大保养(机油+三滤+刹车油),2024-02-06 08:21,27888
S2201,丰田卡罗拉,46118,机油+机滤更换,2025-12-24 14:13,41118
S2202,大众朗逸,110212,空调滤芯+空气滤芯更换,2024-08-25 08:44,100212
S2203,本田思域,120654,变速箱油更换,2025-08-03 09:01,110654
S2204,比亚迪汉,113530,全车检查+轮胎换位,2024-05-06 09:27,103530
S2205,宝马3系,91883,大保养(机油+三滤+刹车油),2024-08-25 17:26,81883
S2206,福特蒙迪欧,32886,刹车油+刹车片更换,2025-06-30 16:57,22886
S2207,吉利星越L,20998,机油+机滤+空调滤芯更换,2024-03-27 13:35,15998
S2208,奥迪A4L,97156,变速箱油+火花塞更换,2024-11-13 16:48,87156
S2209,长城哈弗H6,144810,空气滤芯+燃油滤芯更换,2025-02-08 11:52,139810
S2210,奔驰C级,43648,大保养(机油+三滤+变速箱油),2025-05-12 11:11,33648
S2211,丰田凯美瑞,146581,刹车油+冷却液更换,2025-05-14 16:13,136581
S2212,大众帕萨特,94057,机油+机滤+空气滤芯更换,2024-06-25 09:48,89057
S2213,本田CR-V,125404,变速箱油+刹车油更换,2025-04-18 13:56,115404
S2214,比亚迪宋PLUS,102395,全车检查+空调滤芯更换,2024-07-16 12:12,97395
S2215,宝马5系,44386,大保养(机油+三滤+正时皮带),2024-06-09 17:25,34386
S2216,奥迪Q5L,134999,机油+机滤+火花塞更换,2025-04-04 15:14,129999
S2217,福特锐界,132867,刹车油+刹车片+轮胎更换,2024-02-21 08:47,122867
S2218,吉利博越,59216,机油+机滤+燃油滤芯更换,2025-02-14 12:19,54216
S2219,长城魏派VV7,59392,变速箱油+空调滤芯更换,2025-05-13 17:29,49392
S2220,奔驰E级,77742,大保养(机油+三滤+刹车油),2025-02-05 11:35,67742
S2221,丰田卡罗拉,40578,机油+机滤更换,2024-03-14 16:19,35578
S2222,大众朗逸,31048,空调滤芯+空气滤芯更换,2024-11-09 11:57,21048
S2223,本田思域,130269,变速箱油更换,2024-06-13 16:49,120269
S2224,比亚迪汉,49125,全车检查+轮胎换位,2025-08-08 11:00,39125
S2225,宝马3系,93949,大保养(机油+三滤+刹车油),2025-08-03 16:26,83949
S2226,福特蒙迪欧,43638,刹车油+刹车片更换,2025-10-19 13:08,33638
S2227,吉利星越L,103315,机油+机滤+空调滤芯更换,2024-02-14 10:49,98315
S2228,奥迪A4L,138437,变速箱油+火花塞更换,2025-10-21 16:17,128437
S2229,长城哈弗H6,73801,空气滤芯+燃油滤芯更换,2025-06-05 10:01,68801
S2230,奔驰C级,108830,大保养(机油+三滤+变速箱油),2024-02-08 11:28,98830
S2231,丰田凯美瑞,64387,刹车油+冷却液更换,2025-12-12 11:26,54387
S2232,大众帕萨特,73500,机油+机滤+空气滤芯更换,2024-03-31 10:23,68500
S2233,本田CR-V,29444,变速箱油+刹车油更换,2024-07-19 10:26,19444
S2234,比亚迪宋PLUS,24617,全车检查+空调滤芯更换,2025-07-13 15:48,19617
S2235,宝马5系,133629,大保养(机油+三滤+正时皮带),2025-09-29 12:17,123629
S2236,奥迪Q5L,84540,机油+机滤+火花塞更换,2024-07-18 13:25,79540
S2237,福特锐界,75987,刹车油+刹车片+轮胎更换,2025-09-07 11:43,65987
S2238,吉利博越,57763,机油+机滤+燃油滤芯更换,2025-10-18 15:17,52763
S2239,长城魏派VV7,48973,变速箱油+空调滤芯更换,2024-11-15 13:38,38973
S2240,奔驰E级,132488,大保养(机油+三滤+刹车油),2024-05-31 12:32,122488
S2241,丰田卡罗拉,128607,机油+机滤更换,2025-04-09 10:14,123607
S2242,大众朗逸,64109,空调滤芯+空气滤芯更换,2024-08-23 14:49,54109
S2243,本田思域,142874,变速箱油更换,2025-05-25 08:00,132874
S2244,比亚迪汉,44266,全车检查+轮胎换位,2025-02-25 12:59,34266
S2245,宝马3系,116165,大保养(机油+三滤+刹车油),2025-06-08 09:35,106165
S2246,福特蒙迪欧,52507,刹车油+刹车片更换,2025-01-04 13:50,42507
S2247,吉利星越L,82747,机油+机滤+空调滤芯更换,2025-05-15 10:37,77747
S2248,奥迪A4L,141002,变速箱油+火花塞更换,2024-09-23 16:57,131002
S2249,长城哈弗H6,30737,空气滤芯+燃油滤芯更换,2024-04-11 08:48,25737
S2250,奔驰C级,102047,大保养(机油+三滤+变速箱油),2025-07-22 17:18,92047
S2251,丰田凯美瑞,146277,刹车油+冷却液更换,2025-12-15 17:20,136277
S2252,大众帕萨特,23595,机油+机滤+空气滤芯更换,2024-08-14 14:39,18595
S2253,本田CR-V,122446,变速箱油+刹车油更换,2024-04-22 08:22,112446
S2254,比亚迪宋PLUS,135369,全车检查+空调滤芯更换,2025-07-16 15:52,130369
S2255,宝马5系,75360,大保养(机油+三滤+正时皮带),2025-03-25 08:23,65360
S2256,奥迪Q5L,77459,机油+机滤+火花塞更换,2024-04-14 09:33,72459
S2257,福特锐界,127885,刹车油+刹车片+轮胎更换,2024-12-07 15:40,117885
S2258,吉利博越,138584,机油+机滤+燃油滤芯更换,2025-09-10 12:33,133584
S2259,长城魏派VV7,52319,变速箱油+空调滤芯更换,2025-05-01 12:51,42319
S2260,奔驰E级,42416,大保养(机油+三滤+刹车油),2025-08-13 10:02,32416
S2261,丰田卡罗拉,144104,机油+机滤更换,2024-10-24 15:54,139104
S2262,大众朗逸,68083,空调滤芯+空气滤芯更换,2024-09-20 12:10,58083
S2263,本田思域,108092,变速箱油更换,2025-01-12 12:26,98092
S2264,比亚迪汉,56906,全车检查+轮胎换位,2025-09-19 16:02,46906
S2265,宝马3系,48588,大保养(机油+三滤+刹车油),2025-04-08 16:01,38588
S2266,福特蒙迪欧,47240,刹车油+刹车片更换,2025-12-17 14:20,37240
S2267,吉利星越L,76152,机油+机滤+空调滤芯更换,2025-12-04 11:29,71152
S2268,奥迪A4L,41405,变速箱油+火花塞更换,2025-06-30 13:56,31405
S2269,长城哈弗H6,50412,空气滤芯+燃油滤芯更换,2025-01-18 08:22,45412
S2270,奔驰C级,111052,大保养(机油+三滤+变速箱油),2025-07-07 10:40,101052
S2271,丰田凯美瑞,69071,刹车油+冷却液更换,2025-09-20 08:05,59071
S2272,大众帕萨特,148749,机油+机滤+空气滤芯更换,2025-09-26 16:03,143749
S2273,本田CR-V,149800,变速箱油+刹车油更换,2024-09-24 14:57,139800
S2274,比亚迪宋PLUS,66384,全车检查+空调滤芯更换,2025-03-18 13:44,61384
S2275,宝马5系,71975,大保养(机油+三滤+正时皮带),2025-03-14 17:53,61975
S2276,奥迪Q5L,31554,机油+机滤+火花塞更换,2024-07-24 13:44,26554
S2277,福特锐界,47756,刹车油+刹车片+轮胎更换,2025-08-30 10:52,37756
S2278,吉利博越,146667,机油+机滤+燃油滤芯更换,2025-05-18 12:06,141667
S2279,长城魏派VV7,81724,变速箱油+空调滤芯更换,2024-05-12 15:35,71724
S2280,奔驰E级,49346,大保养(机油+三滤+刹车油),2024-12-16 10:57,39346
S2281,丰田卡罗拉,38903,机油+机滤更换,2024-02-19 17:15,33903
S2282,大众朗逸,118773,空调滤芯+空气滤芯更换,2024-02-06 17:08,108773
S2283,本田思域,69045,变速箱油更换,2024-05-05 08:28,59045
S2284,比亚迪汉,111744,全车检查+轮胎换位,2025-11-15 10:03,101744
S2285,宝马3系,107862,大保养(机油+三滤+刹车油),2024-04-04 15:55,97862
S2286,福特蒙迪欧,79261,刹车油+刹车片更换,2024-11-14 10:13,69261
S2287,吉利星越L,65455,机油+机滤+空调滤芯更换,2024-02-09 17:48,60455
S2288,奥迪A4L,138127,变速箱油+火花塞更换,2024-08-06 15:27,128127
S2289,长城哈弗H6,74367,空气滤芯+燃油滤芯更换,2025-10-22 08:44,69367
S2290,奔驰C级,44818,大保养(机油+三滤+变速箱油),2024-10-02 12:01,34818
S2291,丰田凯美瑞,76938,刹车油+冷却液更换,2024-01-17 12:07,66938
S2292,大众帕萨特,103377,机油+机滤+空气滤芯更换,2024-12-27 11:22,98377
S2293,本田CR-V,140745,变速箱油+刹车油更换,2025-09-30 08:22,130745
S2294,比亚迪宋PLUS,22859,全车检查+空调滤芯更换,2024-04-24 11:59,17859
S2295,宝马5系,37457,大保养(机油+三滤+正时皮带),2024-11-16 14:51,27457
S2296,奥迪Q5L,48026,机油+机滤+火花塞更换,2025-01-23 16:23,43026
S2297,福特锐界,137117,刹车油+刹车片+轮胎更换,2024-08-19 14:07,127117
S2298,吉利博越,91636,机油+机滤+燃油滤芯更换,2025-10-31 15:20,86636
S2299,长城魏派VV7,82950,变速箱油+空调滤芯更换,2025-10-18 15:25,72950
S2300,奔驰E级,73706,大保养(机油+三滤+刹车油),2024-01-23 08:21,63706
S2301,丰田卡罗拉,32861,机油+机滤更换,2024-07-27 08:40,27861
S2302,大众朗逸,29930,空调滤芯+空气滤芯更换,2025-03-19 09:57,19930
S2303,本田思域,50932,变速箱油更换,2025-01-18 09:34,40932
S2304,比亚迪汉,31550,全车检查+轮胎换位,2024-01-22 13:01,21550
S2305,宝马3系,123638,大保养(机油+三滤+刹车油),2024-01-03 09:36,113638
S2306,福特蒙迪欧,76548,刹车油+刹车片更换,2025-05-02 12:43,66548
S2307,吉利星越L,119138,机油+机滤+空调滤芯更换,2024-05-23 14:53,114138
S2308,奥迪A4L,77840,变速箱油+火花塞更换,2025-02-12 09:51,67840
S2309,长城哈弗H6,64356,空气滤芯+燃油滤芯更换,2025-12-25 12:30,59356
S2310,奔驰C级,43015,大保养(机油+三滤+变速箱油),2024-06-19 12:00,33015
S2311,丰田凯美瑞,94749,刹车油+冷却液更换,2025-05-13 14:27,84749
S2312,大众帕萨特,121336,机油+机滤+空气滤芯更换,2024-10-11 16:29,116336
S2313,本田CR-V,57934,变速箱油+刹车油更换,2024-09-16 09:33,47934
S2314,比亚迪宋PLUS,148009,全车检查+空调滤芯更换,2025-03-21 11:04,143009
S2315,宝马5系,53246,大保养(机油+三滤+正时皮带),2025-03-27 09:41,43246
S2316,奥迪Q5L,26559,机油+机滤+火花塞更换,2025-08-12 15:32,21559
S2317,福特锐界,145532,刹车油+刹车片+轮胎更换,2024-06-21 16:02,135532
S2318,吉利博越,90611,机油+机滤+燃油滤芯更换,2024-06-12 11:50,85611
S2319,长城魏派VV7,53264,变速箱油+空调滤芯更换,2025-06-11 09:26,43264
S2320,奔驰E级,134610,大保养(机油+三滤+刹车油),2025-07-01 08:49,124610
S2321,丰田卡罗拉,69533,机油+机滤更换,2024-08-03 14:35,64533
S2322,大众朗逸,149133,空调滤芯+空气滤芯更换,2025-02-02 13:26,139133
S2323,本田思域,37922,变速箱油更换,2025-02-22 15:19,27922
S2324,比亚迪汉,148239,全车检查+轮胎换位,2024-03-22 12:08,138239
S2325,宝马3系,66612,大保养(机油+三滤+刹车油),2024-07-13 16:55,56612
S2326,福特蒙迪欧,101752,刹车油+刹车片更换,2025-09-08 09:15,91752
S2327,吉利星越L,119373,机油+机滤+空调滤芯更换,2025-05-22 12:55,114373
S2328,奥迪A4L,58773,变速箱油+火花塞更换,2025-05-28 10:32,48773
S2329,长城哈弗H6,92525,空气滤芯+燃油滤芯更换,2024-04-11 10:42,87525
S2330,奔驰C级,70791,大保养(机油+三滤+变速箱油),2024-04-25 09:52,60791
S2331,丰田凯美瑞,90508,刹车油+冷却液更换,2024-09-25 12:14,80508
S2332,大众帕萨特,79163,机油+机滤+空气滤芯更换,2025-07-25 08:02,74163
S2333,本田CR-V,49055,变速箱油+刹车油更换,2025-05-21 14:38,39055
S2334,比亚迪宋PLUS,113830,全车检查+空调滤芯更换,2025-04-18 08:08,108830
S2335,宝马5系,145807,大保养(机油+三滤+正时皮带),2024-11-25 09:17,135807
S2336,奥迪Q5L,63849,机油+机滤+火花塞更换,2025-12-01 17:57,58849
S2337,福特锐界,82801,刹车油+刹车片+轮胎更换,2024-04-02 10:01,72801
S2338,吉利博越,80284,机油+机滤+燃油滤芯更换,2024-09-06 16:09,75284
S2339,长城魏派VV7,145206,变速箱油+空调滤芯更换,2024-08-29 09:44,135206
S2340,奔驰E级,73142,大保养(机油+三滤+刹车油),2024-03-10 09:59,63142
S2341,丰田卡罗拉,117321,机油+机滤更换,2024-02-07 16:53,112321
S2342,大众朗逸,24068,空调滤芯+空气滤芯更换,2025-01-23 09:19,14068
S2343,本田思域,132907,变速箱油更换,2024-02-09 11:05,122907
S2344,比亚迪汉,91773,全车检查+轮胎换位,2025-02-23 10:36,81773
S2345,宝马3系,103211,大保养(机油+三滤+刹车油),2025-11-02 11:01,93211
S2346,福特蒙迪欧,66384,刹车油+刹车片更换,2024-11-19 15:23,56384
S2347,吉利星越L,100582,机油+机滤+空调滤芯更换,2025-11-12 16:24,95582
S2348,奥迪A4L,113842,变速箱油+火花塞更换,2024-11-09 09:32,103842
S2349,长城哈弗H6,111635,空气滤芯+燃油滤芯更换,2025-07-14 08:35,106635
S2350,奔驰C级,58432,大保养(机油+三滤+变速箱油),2025-05-01 17:25,48432
S2351,丰田凯美瑞,41944,刹车油+冷却液更换,2024-09-09 13:46,31944
S2352,大众帕萨特,37873,机油+机滤+空气滤芯更换,2025-12-05 09:20,32873
S2353,本田CR-V,74442,变速箱油+刹车油更换,2025-07-25 09:05,64442
S2354,比亚迪宋PLUS,53662,全车检查+空调滤芯更换,2024-09-03 11:51,48662
S2355,宝马5系,57438,大保养(机油+三滤+正时皮带),2024-10-06 13:07,47438
S2356,奥迪Q5L,45223,机油+机滤+火花塞更换,2024-07-15 11:05,40223
S2357,福特锐界,30634,刹车油+刹车片+轮胎更换,2024-04-16 09:27,20634
S2358,吉利博越,118375,机油+机滤+燃油滤芯更换,2024-03-29 09:52,113375
S2359,长城魏派VV7,122539,变速箱油+空调滤芯更换,2025-10-23 17:28,112539
S2360,奔驰E级,117109,大保养(机油+三滤+刹车油),2025-01-02 09:11,107109
S2361,丰田卡罗拉,54235,机油+机滤更换,2025-10-20 08:08,49235
S2362,大众朗逸,142002,空调滤芯+空气滤芯更换,2025-03-04 13:32,132002
S2363,本田思域,147753,变速箱油更换,2025-03-23 16:01,137753
S2364,比亚迪汉,121732,全车检查+轮胎换位,2025-09-27 09:39,111732
S2365,宝马3系,142283,大保养(机油+三滤+刹车油),2025-09-02 16:41,132283
S2366,福特蒙迪欧,54870,刹车油+刹车片更换,2025-10-31 08:07,44870
S2367,吉利星越L,87388,机油+机滤+空调滤芯更换,2024-04-25 14:51,82388
S2368,奥迪A4L,146395,变速箱油+火花塞更换,2024-03-06 08:59,136395
S2369,长城哈弗H6,127313,空气滤芯+燃油滤芯更换,2024-11-26 09:37,122313
S2370,奔驰C级,79997,大保养(机油+三滤+变速箱油),2024-02-13 08:23,69997
S2371,丰田凯美瑞,124816,刹车油+冷却液更换,2024-01-24 15:07,114816
S2372,大众帕萨特,68407,机油+机滤+空气滤芯更换,2024-05-23 17:36,63407
S2373,本田CR-V,30543,变速箱油+刹车油更换,2025-11-03 09:51,20543
S2374,比亚迪宋PLUS,29418,全车检查+空调滤芯更换,2024-10-19 14:26,24418
S2375,宝马5系,137583,大保养(机油+三滤+正时皮带),2025-03-08 15:17,127583
S2376,奥迪Q5L,51297,机油+机滤+火花塞更换,2024-03-09 15:25,46297
S2377,福特锐界,75304,刹车油+刹车片+轮胎更换,2025-03-08 15:02,65304
S2378,吉利博越,113554,机油+机滤+燃油滤芯更换,2025-12-05 17:27,108554
S2379,长城魏派VV7,115548,变速箱油+空调滤芯更换,2024-01-16 10:38,105548
S2380,奔驰E级,129627,大保养(机油+三滤+刹车油),2025-07-27 14:10,119627
S2381,丰田卡罗拉,61570,机油+机滤更换,2025-01-22 13:59,56570
S2382,大众朗逸,120007,空调滤芯+空气滤芯更换,2024-05-13 11:12,110007
S2383,本田思域,33353,变速箱油更换,2024-06-06 13:23,23353
S2384,比亚迪汉,57016,全车检查+轮胎换位,2024-01-08 09:56,47016
S2385,宝马3系,100965,大保养(机油+三滤+刹车油),2024-08-24 13:57,90965
S2386,福特蒙迪欧,68054,刹车油+刹车片更换,2025-11-05 10:22,58054
S2387,吉利星越L,107487,机油+机滤+空调滤芯更换,2024-12-15 15:15,102487
S2388,奥迪A4L,116632,变速箱油+火花塞更换,2024-05-16 14:30,106632
S2389,长城哈弗H6,37537,空气滤芯+燃油滤芯更换,2024-08-12 12:36,32537
S2390,奔驰C级,29978,大保养(机油+三滤+变速箱油),2024-09-15 16:42,19978
S2391,丰田凯美瑞,88012,刹车油+冷却液更换,2024-11-24 08:49,78012
S2392,大众帕萨特,129275,机油+机滤+空气滤芯更换,2024-04-28 12:12,124275
S2393,本田CR-V,116025,变速箱油+刹车油更换,2024-10-08 08:08,106025
S2394,比亚迪宋PLUS,129786,全车检查+空调滤芯更换,2025-11-21 10:50,124786
S2395,宝马5系,50031,大保养(机油+三滤+正时皮带),2024-06-21 15:13,40031
S2396,奥迪Q5L,43987,机油+机滤+火花塞更换,2024-05-16 17:54,38987
S2397,福特锐界,145572,刹车油+刹车片+轮胎更换,2024-02-07 15:06,135572
S2398,吉利博越,104428,机油+机滤+燃油滤芯更换,2024-11-14 11:29,99428
S2399,长城魏派VV7,113727,变速箱油+空调滤芯更换,2025-01-31 13:13,103727
S2400,奔驰E级,104892,大保养(机油+三滤+刹车油),2025-07-28 08:37,94892
S2401,丰田卡罗拉,42556,机油+机滤更换,2025-11-15 15:43,37556
S2402,大众朗逸,125032,空调滤芯+空气滤芯更换,2024-08-10 15:31,115032
S2403,本田思域,112599,变速箱油更换,2024-03-01 12:46,102599
S2404,比亚迪汉,99019,全车检查+轮胎换位,2024-05-06 12:41,89019
S2405,宝马3系,83877,大保养(机油+三滤+刹车油),2024-11-29 10:24,73877
S2406,福特蒙迪欧,76338,刹车油+刹车片更换,2024-08-18 13:21,66338
S2407,吉利星越L,125932,机油+机滤+空调滤芯更换,2025-11-08 16:31,120932
