故障ID,故障代码,故障现象,车型,行驶里程(km),故障发生时间
F1779,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,121569,2025-09-01 14:36
F1780,P0113,进气温度传感器电压高,奔驰E级,145365,2024-07-24 16:51
F1781,P0301,1缸失火，发动机抖动,丰田卡罗拉,138129,2024-12-07 16:11
F1782,C0045,右前轮速传感器故障,大众朗逸,132746,2024-10-22 17:15
F1783,P0171,燃油系统过稀,本田思域,80507,2025-06-11 14:07
F1784,B1234,空调压缩机不工作,比亚迪汉,87062,2024-09-11 17:47
F1785,P0420,催化转化器效率低,宝马3系,83247,2024-05-28 13:12
F1786,P0299,涡轮增压器压力不足,福特蒙迪欧,101568,2024-07-13 09:02
F1787,C0121,刹车压力传感器信号异常,吉利星越L,87199,2024-03-11 17:57
F1788,B0081,主驾驶安全带传感器故障,奥迪A4L,83660,2025-09-13 17:58
F1789,P0521,机油压力传感器电路范围故障,长城哈弗H6,97832,2024-01-05 12:26
F1790,C0561,ABS系统控制模块故障,奔驰C级,102541,2025-04-17 12:27
F1791,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,87236,2024-09-24 10:40
F1792,B0100,空气囊控制模块故障,大众帕萨特,62582,2024-05-09 17:29
F1793,P0122,节气门位置传感器电压低,本田CR-V,55032,2025-02-14 11:24
F1794,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,96826,2025-10-15 17:49
F1795,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,26032,2024-09-02 10:25
F1796,B0200,右前安全气囊传感器故障,奥迪Q5L,148993,2024-08-20 09:00
F1797,P0606,ECM内部控制模块处理器故障,福特锐界,74879,2025-02-14 14:02
F1798,C0051,右后轮速传感器电路故障,吉利博越,51617,2025-08-29 14:17
F1799,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,117082,2025-09-05 14:25
F1800,P0113,进气温度传感器电压高,奔驰E级,101200,2024-09-03 14:12
F1801,P0301,1缸失火，发动机抖动,丰田卡罗拉,71063,2025-11-28 16:35
F1802,C0045,右前轮速传感器故障,大众朗逸,88025,2024-06-29 09:43
F1803,P0171,燃油系统过稀,本田思域,61166,2024-08-07 11:10
F1804,B1234,空调压缩机不工作,比亚迪汉,105306,2024-01-05 11:19
F1805,P0420,催化转化器效率低,宝马3系,31645,2025-10-12 17:56
F1806,P0299,涡轮增压器压力不足,福特蒙迪欧,83444,2025-03-05 14:59
F1807,C0121,刹车压力传感器信号异常,吉利星越L,144522,2024-08-01 15:15
F1808,B0081,主驾驶安全带传感器故障,奥迪A4L,99073,2024-08-30 11:08
F1809,P0521,机油压力传感器电路范围故障,长城哈弗H6,75489,2024-07-19 08:45
F1810,C0561,ABS系统控制模块故障,奔驰C级,24386,2024-08-21 15:15
F1811,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,128283,2024-03-03 09:49
F1812,B0100,空气囊控制模块故障,大众帕萨特,108791,2024-04-14 12:36
F1813,P0122,节气门位置传感器电压低,本田CR-V,112687,2024-05-31 16:00
F1814,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,124897,2024-02-17 13:08
F1815,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,49086,2024-06-01 15:21
F1816,B0200,右前安全气囊传感器故障,奥迪Q5L,108986,2025-09-13 09:23
F1817,P0606,ECM内部控制模块处理器故障,福特锐界,81049,2024-11-06 10:18
F1818,C0051,右后轮速传感器电路故障,吉利博越,55366,2024-02-12 14:45
F1819,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,33514,2024-05-24 13:19
F1820,P0113,进气温度传感器电压高,奔驰E级,136118,2024-03-10 13:52
F1821,P0301,1缸失火，发动机抖动,丰田卡罗拉,84049,2025-10-30 14:51
F1822,C0045,右前轮速传感器故障,大众朗逸,42183,2024-11-19 16:34
F1823,P0171,燃油系统过稀,本田思域,76369,2025-03-10 09:42
F1824,B1234,空调压缩机不工作,比亚迪汉,45425,2025-10-01 11:06
F1825,P0420,催化转化器效率低,宝马3系,135012,2024-05-11 08:01
F1826,P0299,涡轮增压器压力不足,福特蒙迪欧,95732,2024-03-26 14:31
F1827,C0121,刹车压力传感器信号异常,吉利星越L,131389,2024-11-17 14:57
F1828,B0081,主驾驶安全带传感器故障,奥迪A4L,48401,2025-12-23 12:52
F1829,P0521,机油压力传感器电路范围故障,长城哈弗H6,53395,2025-11-16 15:46
F1830,C0561,ABS系统控制模块故障,奔驰C级,90350,2024-05-02 15:33
F1831,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,142154,2024-02-19 16:45
F1832,B0100,空气囊控制模块故障,大众帕萨特,82344,2024-10-07 09:52
F1833,P0122,节气门位置传感器电压低,本田CR-V,44453,2025-02-25 12:02
F1834,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,113208,2024-03-02 15:42
F1835,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,62474,2025-01-06 17:16
F1836,B0200,右前安全气囊传感器故障,奥迪Q5L,52429,2024-04-13 13:26
F1837,P0606,ECM内部控制模块处理器故障,福特锐界,33822,2025-05-14 12:20
F1838,C0051,右后轮速传感器电路故障,吉利博越,96826,2024-03-21 09:57
F1839,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,48354,2024-03-04 09:27
F1840,P0113,进气温度传感器电压高,奔驰E级,37857,2025-12-13 16:12
F1841,P0301,1缸失火，发动机抖动,丰田卡罗拉,135077,2024-09-21 14:26
F1842,C0045,右前轮速传感器故障,大众朗逸,37552,2025-08-02 12:51
F1843,P0171,燃油系统过稀,本田思域,141043,2025-02-14 12:46
F1844,B1234,空调压缩机不工作,比亚迪汉,87766,2025-12-22 09:27
F1845,P0420,催化转化器效率低,宝马3系,31924,2024-09-30 09:02
F1846,P0299,涡轮增压器压力不足,福特蒙迪欧,68053,2025-03-02 16:02
F1847,C0121,刹车压力传感器信号异常,吉利星越L,147850,2024-09-27 15:26
F1848,B0081,主驾驶安全带传感器故障,奥迪A4L,82770,2025-03-22 14:50
F1849,P0521,机油压力传感器电路范围故障,长城哈弗H6,125339,2025-08-21 16:40
F1850,C0561,ABS系统控制模块故障,奔驰C级,124379,2024-09-04 16:30
F1851,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,38631,2024-09-04 14:12
F1852,B0100,空气囊控制模块故障,大众帕萨特,62714,2025-03-26 15:38
F1853,P0122,节气门位置传感器电压低,本田CR-V,134185,2025-10-02 14:29
F1854,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,37828,2024-05-31 13:05
F1855,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,103829,2025-11-08 08:27
F1856,B0200,右前安全气囊传感器故障,奥迪Q5L,146220,2024-11-09 15:40
F1857,P0606,ECM内部控制模块处理器故障,福特锐界,39196,2025-05-19 16:28
F1858,C0051,右后轮速传感器电路故障,吉利博越,112966,2025-11-16 09:57
F1859,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,58735,2025-10-18 17:07
F1860,P0113,进气温度传感器电压高,奔驰E级,60704,2025-02-20 15:07
F1861,P0301,1缸失火，发动机抖动,丰田卡罗拉,59311,2025-04-03 16:21
F1862,C0045,右前轮速传感器故障,大众朗逸,148905,2025-02-26 16:07
F1863,P0171,燃油系统过稀,本田思域,62069,2024-10-13 17:58
F1864,B1234,空调压缩机不工作,比亚迪汉,101807,2025-08-14 17:46
F1865,P0420,催化转化器效率低,宝马3系,31602,2025-09-26 08:31
F1866,P0299,涡轮增压器压力不足,福特蒙迪欧,59991,2024-07-28 11:52
F1867,C0121,刹车压力传感器信号异常,吉利星越L,38737,2024-06-02 11:41
F1868,B0081,主驾驶安全带传感器故障,奥迪A4L,137861,2024-01-08 10:26
F1869,P0521,机油压力传感器电路范围故障,长城哈弗H6,123730,2025-11-02 12:29
F1870,C0561,ABS系统控制模块故障,奔驰C级,145518,2025-06-10 10:40
F1871,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,78610,2025-04-05 13:24
F1872,B0100,空气囊控制模块故障,大众帕萨特,44915,2025-11-24 15:32
F1873,P0122,节气门位置传感器电压低,本田CR-V,88555,2024-02-17 16:18
F1874,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,57185,2025-09-28 09:44
F1875,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,120530,2024-02-13 11:41
F1876,B0200,右前安全气囊传感器故障,奥迪Q5L,123077,2025-11-28 14:15
F1877,P0606,ECM内部控制模块处理器故障,福特锐界,118864,2025-02-15 14:17
F1878,C0051,右后轮速传感器电路故障,吉利博越,40508,2024-12-02 16:50
F1879,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,119920,2024-11-20 11:39
F1880,P0113,进气温度传感器电压高,奔驰E级,38038,2024-01-22 17:29
F1881,P0301,1缸失火，发动机抖动,丰田卡罗拉,53132,2024-09-14 09:35
F1882,C0045,右前轮速传感器故障,大众朗逸,40203,2025-09-05 12:40
F1883,P0171,燃油系统过稀,本田思域,64092,2025-03-03 11:00
F1884,B1234,空调压缩机不工作,比亚迪汉,116644,2025-04-11 17:16
F1885,P0420,催化转化器效率低,宝马3系,101266,2024-08-30 08:00
F1886,P0299,涡轮增压器压力不足,福特蒙迪欧,93392,2025-04-30 15:01
F1887,C0121,刹车压力传感器信号异常,吉利星越L,77883,2025-11-05 16:01
F1888,B0081,主驾驶安全带传感器故障,奥迪A4L,136469,2025-11-30 14:56
F1889,P0521,机油压力传感器电路范围故障,长城哈弗H6,113676,2025-06-19 11:41
F1890,C0561,ABS系统控制模块故障,奔驰C级,119527,2025-03-05 13:26
F1891,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,120334,2024-01-10 11:13
F1892,B0100,空气囊控制模块故障,大众帕萨特,125101,2024-11-01 15:34
F1893,P0122,节气门位置传感器电压低,本田CR-V,73949,2024-08-09 12:42
F1894,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,59175,2024-06-09 12:47
F1895,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,69056,2024-09-02 15:08
F1896,B0200,右前安全气囊传感器故障,奥迪Q5L,66465,2025-11-20 10:08
F1897,P0606,ECM内部控制模块处理器故障,福特锐界,136405,2024-08-19 14:50
F1898,C0051,右后轮速传感器电路故障,吉利博越,100334,2024-07-27 16:02
F1899,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,77614,2024-08-18 15:44
F1900,P0113,进气温度传感器电压高,奔驰E级,146822,2025-06-16 08:54
F1901,P0301,1缸失火，发动机抖动,丰田卡罗拉,23307,2025-07-11 15:47
F1902,C0045,右前轮速传感器故障,大众朗逸,28090,2025-10-09 14:54
F1903,P0171,燃油系统过稀,本田思域,131776,2025-03-04 11:47
F1904,B1234,空调压缩机不工作,比亚迪汉,80159,2024-02-19 13:25
F1905,P0420,催化转化器效率低,宝马3系,58920,2024-11-11 16:05
F1906,P0299,涡轮增压器压力不足,福特蒙迪欧,148829,2024-09-07 17:10
F1907,C0121,刹车压力传感器信号异常,吉利星越L,102352,2024-02-09 15:57
F1908,B0081,主驾驶安全带传感器故障,奥迪A4L,102566,2024-08-05 15:10
F1909,P0521,机油压力传感器电路范围故障,长城哈弗H6,105373,2025-06-26 09:14
F1910,C0561,ABS系统控制模块故障,奔驰C级,131084,2025-06-23 11:27
F1911,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,96158,2025-06-28 09:27
F1912,B0100,空气囊控制模块故障,大众帕萨特,141337,2024-05-10 13:40
F1913,P0122,节气门位置传感器电压低,本田CR-V,120303,2025-06-09 09:37
F1914,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,149106,2025-10-05 09:46
F1915,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,77044,2025-02-11 14:04
F1916,B0200,右前安全气囊传感器故障,奥迪Q5L,113905,2025-07-02 09:36
F1917,P0606,ECM内部控制模块处理器故障,福特锐界,99555,2024-04-08 08:26
F1918,C0051,右后轮速传感器电路故障,吉利博越,80306,2025-07-23 12:05
F1919,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,83986,2025-12-27 10:44
F1920,P0113,进气温度传感器电压高,奔驰E级,120410,2025-10-28 08:07
F1921,P0301,1缸失火，发动机抖动,丰田卡罗拉,31958,2025-10-20 09:02
F1922,C0045,右前轮速传感器故障,大众朗逸,118240,2024-05-27 11:15
F1923,P0171,燃油系统过稀,本田思域,149896,2024-06-13 11:44
F1924,B1234,空调压缩机不工作,比亚迪汉,91117,2025-12-24 08:20
F1925,P0420,催化转化器效率低,宝马3系,81843,2024-08-21 17:17
F1926,P0299,涡轮增压器压力不足,福特蒙迪欧,129252,2025-09-19 15:30
F1927,C0121,刹车压力传感器信号异常,吉利星越L,67535,2025-11-05 16:11
F1928,B0081,主驾驶安全带传感器故障,奥迪A4L,60408,2024-07-17 16:59
F1929,P0521,机油压力传感器电路范围故障,长城哈弗H6,49734,2025-07-25 14:26
F1930,C0561,ABS系统控制模块故障,奔驰C级,139380,2025-09-09 16:07
F1931,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,101619,2024-03-22 12:13
F1932,B0100,空气囊控制模块故障,大众帕萨特,53921,2025-03-18 14:28
F1933,P0122,节气门位置传感器电压低,本田CR-V,133646,2025-05-18 12:49
F1934,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,92642,2025-01-09 13:44
F1935,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,141524,2024-11-13 17:43
F1936,B0200,右前安全气囊传感器故障,奥迪Q5L,127933,2025-11-29 12:12
F1937,P0606,ECM内部控制模块处理器故障,福特锐界,35672,2025-01-31 13:41
F1938,C0051,右后轮速传感器电路故障,吉利博越,111924,2025-01-10 12:26
F1939,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,134288,2025-10-22 11:59
F1940,P0113,进气温度传感器电压高,奔驰E级,119688,2025-04-07 09:13
F1941,P0301,1缸失火，发动机抖动,丰田卡罗拉,141395,2024-01-21 10:47
F1942,C0045,右前轮速传感器故障,大众朗逸,101415,2024-11-07 17:01
F1943,P0171,燃油系统过稀,本田思域,127760,2024-07-13 10:00
F1944,B1234,空调压缩机不工作,比亚迪汉,105672,2025-08-25 08:23
F1945,P0420,催化转化器效率低,宝马3系,114828,2025-03-11 09:32
F1946,P0299,涡轮增压器压力不足,福特蒙迪欧,39843,2024-08-03 08:01
F1947,C0121,刹车压力传感器信号异常,吉利星越L,110004,2025-08-28 14:18
F1948,B0081,主驾驶安全带传感器故障,奥迪A4L,119337,2025-04-12 11:42
F1949,P0521,机油压力传感器电路范围故障,长城哈弗H6,109202,2025-06-19 08:09
F1950,C0561,ABS系统控制模块故障,奔驰C级,120051,2025-02-14 11:03
F1951,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,36177,2025-01-22 14:41
F1952,B0100,空气囊控制模块故障,大众帕萨特,129867,2024-12-01 17:08
F1953,P0122,节气门位置传感器电压低,本田CR-V,42448,2025-09-08 17:44
F1954,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,83541,2025-05-07 16:31
F1955,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,88933,2025-02-17 11:34
F1956,B0200,右前安全气囊传感器故障,奥迪Q5L,73797,2025-11-14 13:22
F1957,P0606,ECM内部控制模块处理器故障,福特锐界,131382,2025-03-31 11:55
F1958,C0051,右后轮速传感器电路故障,吉利博越,138069,2024-05-07 11:19
F1959,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,95297,2025-03-28 09:14
F1960,P0113,进气温度传感器电压高,奔驰E级,90182,2024-09-09 15:48
F1961,P0301,1缸失火，发动机抖动,丰田卡罗拉,122382,2025-05-06 16:52
F1962,C0045,右前轮速传感器故障,大众朗逸,33974,2024-06-06 15:50
F1963,P0171,燃油系统过稀,本田思域,23800,2024-06-24 10:19
F1964,B1234,空调压缩机不工作,比亚迪汉,125374,2025-06-22 17:18
F1965,P0420,催化转化器效率低,宝马3系,83791,2025-12-11 15:56
F1966,P0299,涡轮增压器压力不足,福特蒙迪欧,71164,2024-04-19 15:40
F1967,C0121,刹车压力传感器信号异常,吉利星越L,54620,2025-03-20 15:13
F1968,B0081,主驾驶安全带传感器故障,奥迪A4L,73833,2024-09-19 15:57
F1969,P0521,机油压力传感器电路范围故障,长城哈弗H6,148462,2025-11-09 12:42
F1970,C0561,ABS系统控制模块故障,奔驰C级,135190,2024-12-05 10:37
F1971,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,72111,2024-02-18 08:19
F1972,B0100,空气囊控制模块故障,大众帕萨特,106928,2025-10-13 16:32
F1973,P0122,节气门位置传感器电压低,本田CR-V,107754,2025-01-26 13:36
F1974,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,91249,2024-01-15 16:15
F1975,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,39809,2025-04-07 14:36
F1976,B0200,右前安全气囊传感器故障,奥迪Q5L,132126,2024-03-22 14:11
F1977,P0606,ECM内部控制模块处理器故障,福特锐界,122611,2024-12-16 09:20
F1978,C0051,右后轮速传感器电路故障,吉利博越,66853,2025-07-03 17:19
F1979,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,84451,2025-01-14 11:15
F1980,P0113,进气温度传感器电压高,奔驰E级,43214,2025-09-25 13:03
F1981,P0301,1缸失火，发动机抖动,丰田卡罗拉,99368,2025-11-20 10:25
F1982,C0045,右前轮速传感器故障,大众朗逸,130301,2025-07-22 14:32
F1983,P0171,燃油系统过稀,本田思域,114738,2024-05-15 15:09
F1984,B1234,空调压缩机不工作,比亚迪汉,99118,2025-05-24 08:12
F1985,P0420,催化转化器效率低,宝马3系,127841,2024-09-09 12:43
F1986,P0299,涡轮增压器压力不足,福特蒙迪欧,82249,2024-07-03 11:31
F1987,C0121,刹车压力传感器信号异常,吉利星越L,31549,2025-03-13 17:36
F1988,B0081,主驾驶安全带传感器故障,奥迪A4L,119685,2025-06-05 14:11
F1989,P0521,机油压力传感器电路范围故障,长城哈弗H6,149918,2024-12-01 14:33
F1990,C0561,ABS系统控制模块故障,奔驰C级,123762,2024-02-27 12:24
F1991,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,123709,2025-05-09 11:48
F1992,B0100,空气囊控制模块故障,大众帕萨特,143647,2025-07-25 12:59
F1993,P0122,节气门位置传感器电压低,本田CR-V,118557,2024-05-05 17:15
F1994,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,85869,2025-03-25 13:42
F1995,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,105398,2025-01-25 12:14
F1996,B0200,右前安全气囊传感器故障,奥迪Q5L,78480,2024-01-25 11:30
F1997,P0606,ECM内部控制模块处理器故障,福特锐界,25647,2025-07-03 08:03
F1998,C0051,右后轮速传感器电路故障,吉利博越,41376,2024-10-09 08:30
F1999,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,127828,2025-02-21 10:51
F2000,P0113,进气温度传感器电压高,奔驰E级,74707,2024-11-19 09:02
F2001,P0301,1缸失火，发动机抖动,丰田卡罗拉,107725,2024-12-02 11:28
F2002,C0045,右前轮速传感器故障,大众朗逸,41014,2024-04-27 09:05
F2003,P0171,燃油系统过稀,本田思域,83345,2024-11-05 08:17
F2004,B1234,空调压缩机不工作,比亚迪汉,128546,2024-09-10 14:51
F2005,P0420,催化转化器效率低,宝马3系,80796,2024-12-07 11:09
F2006,P0299,涡轮增压器压力不足,福特蒙迪欧,111872,2024-04-05 12:49
F2007,C0121,刹车压力传感器信号异常,吉利星越L,131689,2024-08-16 11:37
F2008,B0081,主驾驶安全带传感器故障,奥迪A4L,63682,2025-02-06 16:10
F2009,P0521,机油压力传感器电路范围故障,长城哈弗H6,74438,2024-09-02 15:40
F2010,C0561,ABS系统控制模块故障,奔驰C级,52117,2024-10-16 09:13
F2011,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,133916,2025-05-18 13:19
F2012,B0100,空气囊控制模块故障,大众帕萨特,56231,2024-12-05 13:21
F2013,P0122,节气门位置传感器电压低,本田CR-V,78546,2025-02-07 08:46
F2014,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,125138,2024-05-20 17:48
F2015,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,111253,2024-01-19 11:58
F2016,B0200,右前安全气囊传感器故障,奥迪Q5L,125457,2024-05-05 15:26
F2017,P0606,ECM内部控制模块处理器故障,福特锐界,102413,2025-11-22 17:21
F2018,C0051,右后轮速传感器电路故障,吉利博越,135610,2024-12-13 12:49
F2019,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,113229,2024-11-26 11:14
F2020,P0113,进气温度传感器电压高,奔驰E级,72920,2024-01-21 17:12
F2021,P0301,1缸失火，发动机抖动,丰田卡罗拉,104187,2025-04-01 13:51
F2022,C0045,右前轮速传感器故障,大众朗逸,131454,2025-08-13 13:26
F2023,P0171,燃油系统过稀,本田思域,115353,2025-03-29 14:00
F2024,B1234,空调压缩机不工作,比亚迪汉,128999,2024-07-17 15:12
F2025,P0420,催化转化器效率低,宝马3系,53386,2024-04-15 15:27
F2026,P0299,涡轮增压器压力不足,福特蒙迪欧,51431,2025-01-03 15:06
F2027,C0121,刹车压力传感器信号异常,吉利星越L,36069,2025-12-10 13:59
F2028,B0081,主驾驶安全带传感器故障,奥迪A4L,45656,2025-09-20 09:45
F2029,P0521,机油压力传感器电路范围故障,长城哈弗H6,134773,2024-01-09 15:24
F2030,C0561,ABS系统控制模块故障,奔驰C级,98656,2025-02-18 09:04
F2031,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,71995,2025-10-01 11:06
F2032,B0100,空气囊控制模块故障,大众帕萨特,36847,2025-07-08 13:35
F2033,P0122,节气门位置传感器电压低,本田CR-V,44866,2025-12-12 08:32
F2034,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,99632,2025-01-11 17:15
F2035,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,144366,2025-05-25 11:25
F2036,B0200,右前安全气囊传感器故障,奥迪Q5L,97613,2024-02-21 13:51
F2037,P0606,ECM内部控制模块处理器故障,福特锐界,123062,2024-02-12 12:21
F2038,C0051,右后轮速传感器电路故障,吉利博越,51138,2025-08-07 15:57
F2039,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,22093,2024-11-20 16:07
F2040,P0113,进气温度传感器电压高,奔驰E级,76155,2025-04-08 17:29
F2041,P0301,1缸失火，发动机抖动,丰田卡罗拉,48155,2025-08-03 17:13
F2042,C0045,右前轮速传感器故障,大众朗逸,56617,2025-08-07 14:19
F2043,P0171,燃油系统过稀,本田思域,54652,2025-07-27 12:09
F2044,B1234,空调压缩机不工作,比亚迪汉,23497,2025-01-06 16:19
F2045,P0420,催化转化器效率低,宝马3系,45345,2024-06-07 09:40
F2046,P0299,涡轮增压器压力不足,福特蒙迪欧,94153,2024-10-13 15:24
F2047,C0121,刹车压力传感器信号异常,吉利星越L,99516,2024-10-07 15:21
F2048,B0081,主驾驶安全带传感器故障,奥迪A4L,76145,2025-04-29 16:22
F2049,P0521,机油压力传感器电路范围故障,长城哈弗H6,128466,2025-02-20 10:12
F2050,C0561,ABS系统控制模块故障,奔驰C级,101638,2024-01-24 11:16
F2051,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,82165,2025-10-10 09:22
F2052,B0100,空气囊控制模块故障,大众帕萨特,140713,2024-05-21 13:12
F2053,P0122,节气门位置传感器电压低,本田CR-V,50602,2025-04-10 09:44
F2054,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,103388,2024-11-17 09:43
F2055,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,33854,2024-06-02 15:17
F2056,B0200,右前安全气囊传感器故障,奥迪Q5L,108422,2024-10-03 08:23
F2057,P0606,ECM内部控制模块处理器故障,福特锐界,72116,2025-06-09 09:34
F2058,C0051,右后轮速传感器电路故障,吉利博越,104568,2024-06-13 11:07
F2059,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,136143,2025-07-09 14:53
F2060,P0113,进气温度传感器电压高,奔驰E级,122656,2025-05-03 08:19
F2061,P0301,1缸失火，发动机抖动,丰田卡罗拉,95381,2024-03-13 16:55
F2062,C0045,右前轮速传感器故障,大众朗逸,120730,2025-04-09 16:00
F2063,P0171,燃油系统过稀,本田思域,128642,2024-12-13 08:45
F2064,B1234,空调压缩机不工作,比亚迪汉,120395,2024-07-03 08:53
F2065,P0420,催化转化器效率低,宝马3系,41804,2025-12-02 16:17
F2066,P0299,涡轮增压器压力不足,福特蒙迪欧,73599,2025-05-06 11:24
F2067,C0121,刹车压力传感器信号异常,吉利星越L,50980,2024-10-11 13:06
F2068,B0081,主驾驶安全带传感器故障,奥迪A4L,116882,2024-03-29 14:54
F2069,P0521,机油压力传感器电路范围故障,长城哈弗H6,131520,2024-04-22 10:29
F2070,C0561,ABS系统控制模块故障,奔驰C级,123540,2025-12-02 12:21
F2071,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,71043,2024-03-19 08:28
F2072,B0100,空气囊控制模块故障,大众帕萨特,116785,2024-03-15 16:40
F2073,P0122,节气门位置传感器电压低,本田CR-V,97774,2024-08-14 08:01
F2074,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,44575,2025-05-24 14:08
F2075,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,69976,2025-09-13 14:12
F2076,B0200,右前安全气囊传感器故障,奥迪Q5L,68626,2025-02-09 10:19
F2077,P0606,ECM内部控制模块处理器故障,福特锐界,21103,2025-01-12 13:01
F2078,C0051,右后轮速传感器电路故障,吉利博越,48260,2025-01-22 10:56
F2079,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,84625,2024-05-13 08:59
F2080,P0113,进气温度传感器电压高,奔驰E级,57772,2025-09-17 14:30
F2081,P0301,1缸失火，发动机抖动,丰田卡罗拉,145048,2025-10-03 09:10
F2082,C0045,右前轮速传感器故障,大众朗逸,45318,2024-10-27 11:54
F2083,P0171,燃油系统过稀,本田思域,102894,2024-11-19 13:21
F2084,B1234,空调压缩机不工作,比亚迪汉,28965,2025-10-14 16:24
F2085,P0420,催化转化器效率低,宝马3系,94836,2025-12-07 12:33
F2086,P0299,涡轮增压器压力不足,福特蒙迪欧,134353,2024-06-04 13:17
F2087,C0121,刹车压力传感器信号异常,吉利星越L,75795,2025-07-30 16:17
F2088,B0081,主驾驶安全带传感器故障,奥迪A4L,33786,2024-05-25 15:40
F2089,P0521,机油压力传感器电路范围故障,长城哈弗H6,63284,2025-05-24 11:59
F2090,C0561,ABS系统控制模块故障,奔驰C级,117864,2025-02-19 14:28
F2091,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,50056,2024-12-01 14:40
F2092,B0100,空气囊控制模块故障,大众帕萨特,119618,2025-11-09 14:55
F2093,P0122,节气门位置传感器电压低,本田CR-V,29545,2024-04-03 17:03
F2094,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,22591,2025-02-12 12:24
F2095,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,96811,2024-10-30 14:31
F2096,B0200,右前安全气囊传感器故障,奥迪Q5L,87475,2024-04-30 10:25
F2097,P0606,ECM内部控制模块处理器故障,福特锐界,77852,2024-11-13 14:13
F2098,C0051,右后轮速传感器电路故障,吉利博越,72782,2025-07-30 14:23
F2099,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,100338,2024-05-29 08:09
F2100,P0113,进气温度传感器电压高,奔驰E级,140235,2024-11-17 11:59
F2101,P0301,1缸失火，发动机抖动,丰田卡罗拉,142130,2024-01-13 10:16
F2102,C0045,右前轮速传感器故障,大众朗逸,46057,2024-11-10 09:40
F2103,P0171,燃油系统过稀,本田思域,53718,2025-11-05 15:46
F2104,B1234,空调压缩机不工作,比亚迪汉,55031,2024-05-14 12:50
